ssc_percentage,hsc_percentage,cgpa,backlogs,branch,programming_skill,projects,internship,aptitude_score,communication_skills,mock_interviews,placed
66.8543053481313,58.330981797737884,6.30852841867953,0,ECE,3,1,0,91.2037440122165,2,6,0
92.78214378844623,74.38554263202612,6.234893995359999,1,EE,1,3,0,94.86042655998901,10,5,0
82.93972738151322,89.28256261443838,9.531272902605183,0,EE,5,3,0,55.917105345163144,4,1,1
76.93963178886665,82.95011988843025,6.247730999247531,0,ME,5,5,0,94.23718391139336,4,2,1
57.02083881990964,86.29525165376523,6.359748630643155,0,CE,6,4,0,59.239765284185935,1,0,0
57.01975341512912,79.64525150198227,8.796991312089819,1,EE,8,0,0,73.14028080733017,10,9,0
52.613762547568975,81.15244540330336,7.2486992122527,2,CE,10,5,1,43.030448249936924,8,4,1
88.97792655987209,88.21380432043937,8.883552784775906,0,CSE,1,0,1,42.632865302124614,1,8,1
77.0501755284444,61.235060398663364,5.326830787821926,0,CE,4,2,1,83.22239276393218,8,5,0
81.86326600082205,72.02412336394133,7.437855968366922,0,ECE,10,1,0,66.66879867866746,7,4,1
50.92630224331111,59.954424881882105,5.1680680009164135,0,ECE,1,4,0,55.37754252215305,9,2,0
93.64594334728974,94.44506035984912,5.3132660172767725,0,EE,9,5,1,51.424809761494615,8,4,1
87.45991883601897,92.4826702858976,9.532187266722055,0,CE,7,1,0,80.19720945155308,5,7,1
59.55525998052243,51.77420651158277,5.696226855587976,0,EE,7,4,1,40.02409264152039,8,1,0
58.18212352431953,81.75088276320598,7.662103411376085,0,ME,5,4,1,88.35347015181125,10,4,1
58.253202943404524,91.63617428370496,7.055478013003533,0,ECE,7,4,0,44.75497636779573,3,5,1
63.69090093317919,58.12589053073001,6.736716631294213,1,EE,2,1,1,51.489376894487165,10,9,0
73.6140394234507,75.55753537486832,9.499166728436363,0,ME,4,5,0,63.174183717945375,7,7,1
69.43752583889521,91.19697339146188,5.109116983877447,0,EE,7,3,0,69.09152438296621,4,7,1
63.10531130891189,51.527569036360944,8.318948430877946,1,CE,3,1,1,61.29970694883651,5,4,0
77.53338026250708,81.3839120261078,9.816972171067752,0,CE,2,4,0,59.242729899057636,9,8,1
56.277223729341884,63.38070533176479,7.80084091730921,0,CE,10,5,1,97.83496072439131,7,3,1
63.14650918408482,91.59782879194387,9.68411231016546,0,CE,2,2,0,78.49478087460366,4,8,1
66.48628294821613,93.69762103244155,5.261289396430119,0,CSE,1,0,0,41.40597732204329,6,10,0
70.52314928976662,92.49199201010452,7.093966595370807,0,ME,5,4,0,65.81055450665879,10,6,1
85.33291826268561,71.33963974958587,6.300788954810256,0,ME,6,2,1,92.50052198463821,7,5,1
58.985320197126185,88.7919192945191,8.654104824903648,3,CE,6,3,0,58.08737118464008,10,3,0
73.14054972861253,88.00472293407816,9.906485452486233,0,CSE,9,4,0,45.6733806864633,9,1,1
76.65865559879191,64.35952129594651,6.282650312221239,0,CE,4,2,1,85.50308629539506,4,7,1
52.0902685723999,87.30119633678048,8.270873007370373,0,CSE,1,4,0,76.36082991616487,10,5,1
77.33951833556472,51.665343562197165,5.990488163798701,0,CE,6,1,1,74.21875046959023,3,2,0
57.67358556592812,76.83214453169239,7.826651272858049,0,ECE,5,5,0,43.21459357644448,8,6,0
52.92732168433758,60.35039767794664,7.319662433441681,1,ECE,10,2,1,48.42994058773104,1,9,0
92.6998491764,55.425509859977545,9.860026648157685,0,EE,6,5,1,77.35296377278684,9,6,1
93.45344148835517,53.46289407331441,8.042636363482334,0,CE,3,1,0,52.46943048753015,1,5,1
86.37788066524075,81.33299491451629,6.747531860434094,0,ME,2,1,0,70.24420478490546,2,1,0
